Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
720,2,21,83,0,6912417,398869,33201,0
730,2,22,75,0,6912417,448150,30838,0
740,0,28,79,0,0,498780,32029,0
750,0,20,79,2,0,398540,32010,232
760,0,28,85,2,0,14030975,34621,240
770,0,27,73,0,0,1521819,29418,0
780,2,25,102,0,6912419,473502,46691,0
790,2,22,58,0,6912415,398922,17792,0
800,0,29,102,2,0,7789036,46927,236
810,0,23,55,0,0,473179,16988,0
820,1,23,97,0,361,423759,45199,0
830,3,20,61,0,13824473,398540,18840,0
840,0,22,97,0,0,448150,45199,0
850,0,24,65,2,0,448724,20052,232
860,0,28,99,2,0,14080454,45839,240
870,1,28,54,0,362,1497364,16668,0
880,1,25,101,0,6912057,473561,46323,0
890,2,20,75,0,6912415,398540,30514,0
900,0,24,82,2,0,7427545,33165,236
910,0,23,77,0,0,710357,31585,0
920,1,26,84,0,361,498398,33542,0
930,2,23,75,0,6912417,423823,30817,0
940,1,22,78,0,6912056,448150,31690,0
950,0,21,79,1,0,374021,32029,117
960,0,31,79,3,0,14155093,32010,355
970,0,26,97,0,0,1447754,44809,0
980,2,24,61,0,6912419,448532,19230,0
990,2,24,101,0,6912415,498016,46323,0
1000,0,27,57,2,0,7739426,17716,236
1010,0,22,98,0,0,398922,45519,0
1020,2,23,65,0,6912417,472987,20052,0
1030,2,28,93,0,6912417,498717,43987,0
1040,0,20,60,0,0,398540,18520,0
1050,0,21,98,1,0,374021,45519,117
1060,0,34,64,3,0,14180248,19692,355
1070,0,28,94,0,0,1497428,44347,0
1080,2,22,81,0,6912419,398922,32122,0
1090,2,18,77,0,6912415,348802,31917,0
1100,0,37,79,2,0,7889213,32029,236
1110,0,22,81,0,0,448278,32516,0
1120,2,21,82,0,6912417,374021,32833,0
1130,2,27,76,0,6912417,523235,31206,0
1140,0,21,79,0,0,423377,32029,0
1150,0,22,82,2,0,398922,32814,232
1160,0,28,97,2,0,14080326,44809,240
1170,1,27,60,0,362,1522011,18932,0
1180,1,26,98,0,6912057,449042,45519,0
1190,2,16,60,0,6912415,299128,18520,0
1200,0,31,98,2,0,7863218,45519,236
1210,0,22,60,0,0,423898,18520,0
1220,2,21,98,0,6912417,423377,45519,0
1230,2,21,61,0,6912417,374021,18840,0
1240,0,27,103,0,0,523235,47051,0
1250,0,21,54,2,0,423377,16668,232
1260,0,31,101,2,0,14080960,46323,240
1270,1,23,76,0,362,1422471,30834,0
1280,1,28,79,0,6912057,548072,32401,0
1290,2,24,80,0,6912415,423812,32349,0
1300,0,26,81,2,0,7739373,32494,236
1310,0,26,76,0,0,448914,31225,0
1320,1,27,79,0,361,498522,32010,0
1330,3,22,80,0,13824473,398922,32349,0
1340,0,20,81,0,0,398540,32494,0
1350,0,24,94,2,0,448532,44005,232
1360,0,33,63,2,0,14155475,19674,240
1370,0,24,96,0,0,1447372,45075,0
1380,2,24,60,0,6912419,448532,18520,0
1390,2,23,98,2,6912415,6740018,45519,236
1400,0,27,60,0,0,1472587,18520,0
1410,0,22,99,0,0,398922,45839,0
1420,2,23,63,0,6912417,472987,19372,0
1430,2,25,94,0,6912417,473561,44347,0
1440,0,21,62,0,0,423441,18964,0
1450,0,18,96,2,0,348802,45075,232
1460,0,35,83,2,0,14205085,33201,240
1470,0,29,77,0,0,1472847,31282,0
1480,2,21,77,0,6912419,398666,31585,0
1490,2,24,81,0,6912415,448532,32454,0
1500,0,28,81,2,0,7813683,32757,236
1510,0,22,76,0,0,374149,30999,0
1520,1,21,80,0,361,374021,32349,0
1530,3,25,81,0,13824473,522853,32494,0
1540,0,24,96,0,0,448596,44449,0
1550,0,22,59,2,0,398922,18786,232
1560,0,28,99,2,0,14080326,45839,240
1570,0,29,61,0,0,1522393,18644,0
1580,2,22,96,0,6912419,448278,45075,0
1590,2,21,60,0,6912415,374021,18520,0
1600,0,29,100,2,0,7789036,46025,236
1610,0,25,63,0,0,522917,19324,0
1620,2,22,95,0,6912417,398922,44715,0
1630,2,19,60,0,6912417,373639,18520,0
1640,0,29,101,0,0,548198,46323,0
1650,0,23,75,2,0,423759,30514,232
1660,0,26,85,2,0,14030716,34031,240
1670,1,28,79,0,362,1497364,32029,0
1680,1,28,81,0,6912057,498844,32738,0
1690,2,22,74,0,6912415,423430,30497,0
1700,0,25,79,2,0,7689761,32010,236
1710,0,25,79,0,0,522853,32029,0
1720,2,26,79,0,6912417,448978,32010,0
1730,2,22,97,0,6912417,398922,44809,0
1740,0,24,62,0,0,448532,19550,0
1750,0,22,97,2,0,448342,45199,232
1760,0,32,60,2,0,14081095,18520,240
1770,1,25,100,0,362,1422853,45963,0
1780,1,24,64,0,6912057,448409,19928,0
1790,2,22,92,1,6912415,423622,43667,119
1800,0,30,66,1,0,7789429,20372,117
1810,0,20,95,0,0,398540,44471,0
1820,1,25,57,0,361,473369,17716,0
1830,3,23,98,0,13824473,473179,45519,0
1840,0,21,83,0,0,423441,33201,0
1850,0,21,76,2,0,374021,31158,232
1860,0,36,78,2,0,14180630,31709,240
1870,1,27,81,0,362,1472591,32454,0
1880,1,20,80,0,6912057,398540,32389,0
1890,2,22,76,0,6912415,448150,31206,0
1900,0,29,80,2,0,7838520,32349,236
1910,0,23,81,0,0,423823,32494,0
1920,2,22,94,0,6912417,448150,44005,0
1930,2,22,61,0,6912417,398858,19230,0
1940,0,23,102,0,0,473243,46691,0
1950,0,20,56,2,0,398540,17348,232
1960,0,26,98,2,0,13981360,45519,240
1970,0,32,64,0,0,1646196,19692,0
1980,2,24,97,0,6912419,448660,45151,0
1990,2,21,57,0,6912415,374021,17716,0
2000,0,24,102,2,0,6715371,46691,236
2010,0,30,59,0,0,1547290,18152,0
2020,2,21,95,0,6912417,423377,44715,0
2030,2,23,83,0,6912417,374276,33193,0
2040,0,30,77,0,0,548454,31290,0
2050,0,23,80,2,0,423759,32389,232
2060,0,22,76,2,0,13931304,31206,240
2070,1,30,79,0,362,1547166,32029,0
2080,1,25,82,0,6912057,473561,32814,0
2090,2,21,76,1,6912415,423377,31225,119
2100,0,29,80,1,0,7739681,32330,117
2110,0,24,104,0,0,448532,47237,0
2120,1,26,56,0,361,498398,17308,0
2130,3,23,96,0,13824473,423823,44488,0
2140,0,19,63,0,0,373639,19324,0
2150,0,24,93,2,0,448532,43293,232
2160,0,33,78,2,0,14155475,31318,240
