Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737224344.0002935,64.7,569.23,42.8,478.08,21.9,57.89,0.0,33.26
1737224346.0113142,68.9,569.96,44.9,478.08,24.0,58.62,0.0,33.26
1737224348.024169,70.0,575.0,47.0,483.23,23.0,58.51,0.0,33.26
1737224350.0344973,71.9,569.95,48.9,478.08,22.0,58.61,1.0,33.26
1737224352.0436158,67.9,570.0,46.9,478.08,21.0,58.66,0.0,33.26
1737224354.0553343,71.9,571.53,50.9,479.62,21.0,58.65,0.0,33.26
1737224356.068651,72.8,580.17,48.8,482.46,24.0,64.45,0.0,33.26
1737224358.0798929,72.8,575.93,49.9,478.08,22.9,64.59,0.0,33.26
1737224360.0914369,75.9,569.98,50.9,478.08,24.0,58.64,1.0,33.26
1737224362.1034083,75.9,569.8,51.9,478.08,24.0,58.46,0.0,33.26
1737224364.1113486,72.9,563.52,47.9,478.08,25.0,52.18,0.0,33.26
1737224366.1238174,64.9,572.69,43.9,481.43,21.0,58.0,0.0,33.26
1737224368.1356378,71.0,586.84,47.0,488.38,24.0,65.2,0.0,33.26
1737224370.1454506,78.0,574.67,54.0,482.97,24.0,58.44,0.0,33.26
1737224372.1575983,72.9,578.56,49.9,480.65,23.0,64.65,0.0,33.26
1737224374.1683097,73.8,574.99,50.8,483.23,23.0,58.5,0.0,33.26
1737224376.180693,68.9,581.26,45.9,482.97,23.0,65.03,0.0,33.26
1737224378.1914058,76.4,573.11,52.5,487.87,23.9,51.98,0.0,33.26
1737224380.2054558,72.9,579.27,50.9,481.43,22.0,64.58,0.0,33.26
1737224382.22251,70.9,579.65,46.9,481.94,24.0,64.45,0.0,33.26
1737224384.2324066,72.9,569.27,49.9,478.08,23.0,57.93,0.0,33.26
1737224386.2461805,73.7,575.98,49.8,478.08,23.9,64.64,0.0,33.26
1737224388.2566662,70.9,570.21,48.9,484.78,21.0,52.17,1.0,33.26
1737224390.2673051,67.0,580.73,47.0,482.97,20.0,64.5,0.0,33.26
1737224392.27957,77.9,575.36,53.9,478.08,24.0,64.02,0.0,33.26
1737224394.2912927,64.8,575.9,42.9,478.08,21.9,64.56,0.0,33.26
1737224396.3038158,71.9,575.88,47.9,478.08,23.0,64.54,1.0,33.26
1737224398.3145728,68.9,569.97,46.9,478.08,22.0,58.63,0.0,33.26
1737224400.3295307,67.9,569.86,45.9,478.08,22.0,58.52,0.0,33.26
1737224402.3444133,70.8,569.92,46.9,478.08,22.9,58.58,1.0,33.26
1737224404.3557613,74.9,569.22,49.9,478.08,25.0,57.88,0.0,33.26
1737224406.3640947,86.8,571.25,45.9,478.89,21.0,58.07,19.9,34.29
1737224408.376961,134.9,571.26,93.0,478.89,20.0,58.08,21.9,34.29
1737224410.3895094,112.8,571.81,80.8,478.89,20.0,58.63,12.0,34.29
1737224412.403055,93.9,571.66,71.9,478.89,19.0,58.48,3.0,34.29
1737224414.4152977,96.9,571.63,70.9,478.89,24.0,58.45,2.0,34.29
1737224416.4247627,93.8,582.7,65.9,483.79,23.9,64.62,4.0,34.29
1737224418.4363148,85.9,578.29,63.9,478.89,20.0,65.11,2.0,34.29
1737224420.4466722,91.0,571.81,66.0,478.95,22.0,58.57,3.0,34.29
1737224422.4578454,88.0,577.39,64.0,479.21,21.0,63.89,3.0,34.29
1737224424.4705658,89.9,576.84,65.9,484.1,22.0,58.45,2.0,34.29
1737224426.4893005,88.6,582.96,62.0,484.1,21.6,64.57,5.0,34.29
1737224428.5001228,94.9,571.94,66.9,485.65,25.0,52.0,3.0,34.29
1737224430.512192,92.7,568.38,67.8,482.04,21.9,52.05,3.0,34.29
1737224432.5278037,85.9,577.43,61.9,479.21,22.0,63.93,2.0,34.29
